sample	rawreads1	rawreads2	assembly
SU26_4_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU26_4/SU26_4_EKDN220043668-1A_HKF3KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU26_4/SU26_4_EKDN220043668-1A_HKF3KDSX5_L4_2.fq.gz	Suohpatjavri
SU26_4_2	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU26_4/SU26_4_EKDN220043668-1A_HKFCGDSX5_L3_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU26_4/SU26_4_EKDN220043668-1A_HKFCGDSX5_L3_2.fq.gz	Suohpatjavri
SU26_4_3	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU26_4/SU26_4_EKDN220043668-1A_HKK7CDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU26_4/SU26_4_EKDN220043668-1A_HKK7CDSX5_L4_2.fq.gz	Suohpatjavri
SU45_21	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU45_21/SU45_21_EKDN220043685-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU45_21/SU45_21_EKDN220043685-1A_HKK5MDSX5_L4_2.fq.gz	Suohpatjavri
SU48_22	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU48_22/SU48_22_EKDN220043686-1A_HKL2VDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU48_22/SU48_22_EKDN220043686-1A_HKL2VDSX5_L1_2.fq.gz	Suohpatjavri
SU49_23	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU49_23/SU49_23_EKDN220043687-1A_HKL2VDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU49_23/SU49_23_EKDN220043687-1A_HKL2VDSX5_L1_2.fq.gz	Suohpatjavri
SU51_24	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU51_24/SU51_24_EKDN220043688-1A_HKL2VDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU51_24/SU51_24_EKDN220043688-1A_HKL2VDSX5_L1_2.fq.gz	Suohpatjavri
SU52_25	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU52_25/SU52_25_EKDN220043689-1A_HKL2VDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU52_25/SU52_25_EKDN220043689-1A_HKL2VDSX5_L1_2.fq.gz	Suohpatjavri
SU54_26	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU54_26/SU54_26_EKDN220043690-1A_HKL2VDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU54_26/SU54_26_EKDN220043690-1A_HKL2VDSX5_L1_2.fq.gz	Suohpatjavri
SU56_27	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU56_27/SU56_27_EKDN220043691-1A_HKL2VDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU56_27/SU56_27_EKDN220043691-1A_HKL2VDSX5_L1_2.fq.gz	Suohpatjavri
SU6_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU6_1/SU6_1_EKDN220043665-1A_HKFCGDSX5_L3_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU6_1/SU6_1_EKDN220043665-1A_HKFCGDSX5_L3_2.fq.gz	Suohpatjavri
SU61_28	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU61_28/SU61_28_EKDN220043692-1A_HKL2VDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU61_28/SU61_28_EKDN220043692-1A_HKL2VDSX5_L1_2.fq.gz	Suohpatjavri
SU62_29	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU62_29/SU62_29_EKDN220043693-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU62_29/SU62_29_EKDN220043693-1A_HKK5MDSX5_L4_2.fq.gz	Suohpatjavri
SU63_30	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU63_30/SU63_30_EKDN220043694-1A_HKL2VDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU63_30/SU63_30_EKDN220043694-1A_HKL2VDSX5_L1_2.fq.gz	Suohpatjavri
